Trip,Ident,Species,Coord_system,Latitude,Longitude,Date,Altitude_m,Collectors,Seeds,Location,Comments,MaxCoordUncertainty_m,Trip_comments,,,,,,,,,,,,,,,,
Trip1,EMW0006,Eucalyptus melliodora,WGS84,-34.31277473,150.0875892,20-JAN-19 11:33:00PM,82.37350211,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,,5,,,,,,,,,,,,,,,,,
Trip2,GOL0001,Eucalyptus melliodora,WGS84,-35.20836473,149.2588769,19-MAR-19 5:22:22PM,647.088135,Helen Bothwell & Kevin Murray,N,"S from M23 to Sutton Rd., then dirt rd. W",,5,,,,,,,,,,,,,,,,,
Trip2,GOL0002,Eucalyptus melliodora,WGS84,-35.24763865,149.2807351,19-MAR-19 5:47:09PM,792.967285,Helen Bothwell & Kevin Murray,N,"S on Sutton Rd., E on Norton Rd, N on Fernloff","Big, old tree; sampled resprout from base of trunk",5,,,,,,,,,,,,,,,,,
Trip2,GOL0003,Eucalyptus melliodora,WGS84,-35.28911448,149.4522442,19-MAR-19 6:58:39PM,738.412842,Helen Bothwell & Kevin Murray,Y,S out of Bungendore on Gidleigh Lane,"VERY fecund tree; many low branches, easy to sample",5,,,,,,,,,,,,,,,,,
Trip2,GOL0004,Eucalyptus melliodora,WGS84,-35.29944534,149.4607546,19-MAR-19 7:22:07PM,749.708008,Helen Bothwell & Kevin Murray,Y,Continueing S on Gidleigh Ln,"Some seed, but all green, looks like this years not yet matured",5,,,,,,,,,,,,,,,,,
Trip2,GOL0005,Eucalyptus melliodora,WGS84,-35.31586063,149.4957254,19-MAR-19 8:00:03PM,807.867432,Helen Bothwell & Kevin Murray,Y,Continueing S on Gidleigh Ln,"Few seed, but all green, looks like this years not yet matured",5,,,,,,,,,,,,,,,,,
Trip2,GOL0006,Eucalyptus melliodora,WGS84,-35.59996331,149.8112832,19-MAR-19 10:49:11PM,631.226807,Helen Bothwell & Kevin Murray,N,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Higher elevation, few Emel, lots of E. viminalis and Angophora that could be hybridizing w/ these",5,,,,,,,,,,,,,,,,,
Trip2,GOL0007,Eucalyptus melliodora,WGS84,-35.60009432,149.8113898,19-MAR-19 10:50:12PM,630.265381,Helen Bothwell & Kevin Murray,N,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Only ~10m from GOL0006; looks pretty reliable, but not totally sure it's E. mel; resprouted from v. old stump; lots of Angophora and ribbon gum that may be hybridizing w/ these two",5,,,,,,,,,,,,,,,,,
Trip2,GOL0008,Eucalyptus melliodora,WGS84,-35.6729831,149.8309023,19-MAR-19 11:39:30PM,158.501953,Helen Bothwell & Kevin Murray,Y,Araluen Rd,"Two trunks, one w/ very Emel leaves (broader), the other trunk with thinner, narrower leaves - could be different ontogeny",5,,,,,,,,,,,,,,,,,
Trip2,GOL0009,Eucalyptus melliodora,WGS84,-35.68992904,149.8492569,20-MAR-19 12:00:55AM,146.485474,Helen Bothwell & Kevin Murray,N,Araluen Rd,"Big, old tree, leaves a bit long & bark a bit pealy, but probably a good Emel, leaves nicely glaucous; lots of ribbonbark in area",5,,,,,,,,,,,,,,,,,
Trip3,GOL0010,Eucalyptus melliodora,WGS84,-35.34229933,149.8506001,27-MAR-19 10:18:07AM,696.836182,Helen Bothwell,N,"N out of Braidwood on Nerriga Rd., then W on Brightside Rd. (dirt)",Seed too green or too old (already released),5,"E. melliodora quite rare on this trip, perhaps due to being on far eastern edge of their range, but also mass ag clearing associated with their valley/lower elevation open woodland habitat; E. viminalis very common, also lots of red gum and snow gum, some E. bridgesiana, what I think is likely E. fastigata, and E. polyanthemos, E. blakelyi, etc.",,,,,,,,,,,,,,,,
Trip3,GOL0011,Eucalyptus melliodora,WGS84,-35.34337733,149.8529949,27-MAR-19 10:34:12AM,707.4104,Helen Bothwell,Y,"N out of Braidwood on Nerriga Rd., then W on Brightside Rd. (dirt)","*Seeds may be a bit too young. Bark looks perfect Emel; seeds have 6 valves instead of the typical 5; ~100m from #10, but had seeds so collected",5,,,,,,,,,,,,,,,,,
Trip3,GOL0012,Eucalyptus melliodora,WGS84,-35.3077793,149.8785983,27-MAR-19 11:18:19AM,630.746094,Helen Bothwell,Y,"Nerriga Rd., large grassy pull-off on left side","*Seeds green; mid-younger tree; seeds really easy to reach and TONS of them, could come back when matured",5,,,,,,,,,,,,,,,,,
Trip3,GOL0013,Eucalyptus melliodora,WGS84,-35.0883332,150.1207641,27-MAR-19 12:46:20PM,560.329834,Helen Bothwell,N,"End of Nerriga Rd before entering Morton National Park; pull in entrance between two chainlink fences, small pullout just past the entrance on the right",,5,,,,,,,,,,,,,,,,,
Trip3,GOL0014,Eucalyptus melliodora,WGS84,-35.09359863,150.1175408,27-MAR-19 12:54:38PM,589.649902,Helen Bothwell,N,Pulloff on east side of Nerriga Rd. heading back S,"Collected a single seed, simply verifying taxonomy - typical Emel 5-valved",5,,,,,,,,,,,,,,,,,
Trip3,GOL0015,Eucalyptus melliodora,WGS84,-35.11480426,149.9193022,27-MAR-19 2:12:28PM,628.102539,Helen Bothwell,N,"Oallen Ford Rd west, then turn rt. on Jerralong Rd; tree just about 8 meters from intersection",,5,,,,,,,,,,,,,,,,,
Trip3,GOL0016,Eucalyptus melliodora,WGS84,-35.0892744,149.9074582,27-MAR-19 2:40:32PM,585.804688,Helen Bothwell,N,Worton Rd. (?) off Oallen Ford Rd.,"Young tree, didn't look reproductively mature",5,,,,,,,,,,,,,,,,,
Trip3,GOL0017,Eucalyptus melliodora,WGS84,-35.064829,149.8654812,27-MAR-19 3:11:16PM,596.37915,Helen Bothwell,N,Pulloff on W side of Oalla Ford Rd.,,5,,,,,,,,,,,,,,,,,
Trip3,GOL0018,Eucalyptus melliodora,WGS84,-35.08290416,149.8458555,27-MAR-19 3:33:37PM,605.27124,Helen Bothwell,Y,"Sandy Pt. rd W of Oalla Ford Rd., pulloff on N side of the rd.","Great seed tree! And seeds looked mature, nicely dried; collected a LOT.",5,,,,,,,,,,,,,,,,,
Trip3,GOL0019,Eucalyptus melliodora,WGS84,-35.0929072,149.8306888,27-MAR-19 4:04:46PM,633.14917,Helen Bothwell,Y,Continue W on Sandy Point Rd.,"Seeds nicely dried, look really good; some leaves longer and narrower than other Emel in area, but also many smaller, typicaly obovate young growth; old, gnarled tree; lots of aphids and ants on stems, fought them for the seeds",5,,,,,,,,,,,,,,,,,
Trip3,GOL0020,Eucalyptus melliodora,WGS84,-35.11568679,149.8138964,27-MAR-19 4:25:36PM,630.265381,Helen Bothwell,N,"Continuing W down Sandy Point Rd. after it turns to dirt, past turn to Willow Glen Rd.",Young tree next to older E. mel; ,5,,,,,,,,,,,,,,,,,
Trip3,GOL0021,Eucalyptus melliodora,WGS84,-35.10303673,149.8190508,27-MAR-19 4:38:38PM,631.226807,Helen Bothwell,N,"Continuing W down Sandy Point Rd. after it turns to dirt, past turn to Willow Glen Rd.","Great dirt road, v. little traffic and seems prime E. mel area; likely more down this road if we want to collect more in this area",5,,,,,,,,,,,,,,,,,
Trip4,GOL0022,Eucalyptus melliodora,WGS84,-34.96374845,149.8216151,01-APR-19 11:32:18AM,655.73999,Helen Bothwell,N,"N to Tarago, Cullala Rd east, then N on Lumley Rd.","Small shoot off a big, old tree",4,,,,,,,,,,,,,,,,,
Trip4,GOL0023,Eucalyptus melliodora,WGS84,-34.95464193,149.8286439,01-APR-19 11:40:51AM,643.24292,Helen Bothwell,Y,Continuing NE on Lumley Rd.,"Good seed tree; big, old; quite a bit of what I think is E. polyanthemous in this area",4,,,,,,,,,,,,,,,,,
Trip4,GOL0024,Eucalyptus melliodora,WGS84,-34.91414376,149.8963593,01-APR-19 12:26:36PM,641.801025,Helen Bothwell,N,Continuing NE on Lumley Rd.,"Big, old tree; possible hybrid?, leaves see greener and maybe a bit pointier than usual E. mel??",4,,,,,,,,,,,,,,,,,
Trip4,GOL0025,Eucalyptus melliodora,WGS84,-34.90062333,149.9203847,01-APR-19 12:52:41PM,635.55249,Helen Bothwell,Y,Continuing NE on Lumley Rd.,"LOTS of seed, but not confident in identity; think this is a different box; good box bark, but leaves longer, greener, seeds w/ 5 valves but larger than typical E. mel, umbels longer and not typically in 7, yes in leaf axial; some leaves quite broad like E. polyanthemous, but also many narrow so not E.poly; some upper bark pealing a little almost a bit ribbon-like",4,,,,,,,,,,,,,,,,,
Trip4,GOL0026,Eucalyptus melliodora,WGS84,-34.85496668,149.9551925,01-APR-19 1:55:19PM,599.503418,Helen Bothwell,Y,Howick St. E out of Bungonia towards Bungonia Nat'l Park,Hybrid?? Seeds maybe larger than typical E. mel; leaves longer/thinner?; but 5-valved fruits and 7 umbeld axilary and terminal floral clusters; good recessed leaf margins,4,,,,,,,,,,,,,,,,,
Trip4,GOL0027,Eucalyptus melliodora,WGS84,-34.85478479,149.9550694,01-APR-19 2:20:38PM,598.301758,Helen Bothwell,N,Right across the road from GOL0026,"Confident this is a good E.mel!; blue-gray glaucous leaves, younger ones ovate, axilary umbels, perfect bark, boxy below and gray-yellow streaked above",4,,,,,,,,,,,,,,,,,
Trip4,GOL0028,Eucalyptus melliodora,WGS84,-34.84301266,149.9758547,01-APR-19 2:39:12PM,574.98999,Helen Bothwell,Y,Along Howick St.,"Few seeds; mid-aged next to big, old E.mel in field but over fence; valves mostly 4 but some 5; leaves right size, shape, and glaucous",4,,,,,,,,,,,,,,,,,
Trip4,GOL0029,Eucalyptus melliodora,WGS84,-34.85567085,149.9485649,01-APR-19 2:53:43PM,585.08374,Helen Bothwell,Y,Pullout on S side of Howick St.,"TONS of good looking, mature seed; 5-valved; 100% Emel; big, old tree overhanging rd; perfect glaucous, ovate young and smaller elongated mature leaves w/ recessed margins",4,,,,,,,,,,,,,,,,,
Trip4,GOL0030,Eucalyptus melliodora,WGS84,-34.82950808,149.9507709,01-APR-19 3:25:17PM,590.37085,Helen Bothwell,N,E side of Jerrara Rd. N out of Bungonia,Young to mid-aged,4,,,,,,,,,,,,,,,,,
Trip4,GOL0031,Eucalyptus melliodora,WGS84,-34.8086674,149.953166,01-APR-19 3:38:26PM,598.061523,Helen Bothwell,N,Continuing N on Jerrara,Good E.mel,4,,,,,,,,,,,,,,,,,
Trip4,GOL0032,Eucalyptus melliodora,WGS84,-34.77803011,149.9807995,01-APR-19 4:01:19PM,646.126953,Helen Bothwell,N,Glynmar Rd. E off Jerrara Rd.,Leaves nicely glaucous and shaped,4,,,,,,,,,,,,,,,,,
Trip4,GOL0033,Eucalyptus melliodora,WGS84,-34.77781638,149.9758829,01-APR-19 4:12:51PM,642.04126,Helen Bothwell,Y,Glynmar Rd. E off Jerrara Rd.,TONS of seed,4,,,,,,,,,,,,,,,,,
Trip4,GOL0034,Eucalyptus melliodora,WGS84,-34.77297993,149.964274,01-APR-19 4:30:00PM,627.861816,Helen Bothwell,Y,"N on Jerrara Rd, pulloff on W side",TONS of seed,4,,,,,,,,,,,,,,,,,
Trip5,GOL0035,Eucalyptus melliodora,WGS84,-36.23574081,149.12084,03-APR-19 11:55:29AM,831.419678,Helen Bothwell,Y,"B23 to B72 then N on Creek St., rt. Uphill on Massie St., tree ~15m inside gate of Nanny Goat Hill Reserve & Outlook on left","Seed 5-valved, good box bark, young, recessed margin glaucous juvenile leaves and smaller, narrower mature leaves. Possibly planted ?? No other Emael for miles, but could be last remnant in ag desert. Ribbonbark (E. viminalis?) v. common, also E. pauciflora, perhaps a bit high elevation for Emel.",5,"Drove S to Cooma; numerous Emel until ~30k N of Cooma, then nearly all valley bottom cleared for ag/grazing",,,,,,,,,,,,,,,,
Trip5,GOL0036,Eucalyptus melliodora,WGS84,-35.85174596,149.1861647,03-APR-19 1:42:11PM,829.49707,Helen Bothwell,N,Paveys Rd E off Monaro Hwy (B23),Perfect Emel leaves,5,,,,,,,,,,,,,,,,,
Trip5,GOL0037,Eucalyptus melliodora,WGS84,-35.85356534,149.1830405,03-APR-19 1:56:07PM,850.165039,Helen Bothwell,Y,"Close to GOL0036, but has seed","Good seed tree, 5-valved, typical leaves & bark",5,,,,,,,,,,,,,,,,,
Trip5,GOL0038,Eucalyptus melliodora,WGS84,-35.84869579,149.1754083,03-APR-19 2:18:59PM,807.386719,Helen Bothwell,Y,Paveys Rd up hill in field N of road,"Lots of good seed, typical leaves, beautiful huge old tree. Lots of Emel through here now, also E.viminalis and E.bridgisiana",5,,,,,,,,,,,,,,,,,
Trip5,GOL0039,Eucalyptus melliodora,WGS84,-35.78823058,149.1674645,03-APR-19 2:38:11PM,808.10791,Helen Bothwell,Y,E on Ryrie Hill Rd.,"Good seed and leaves, big old tree",5,,,,,,,,,,,,,,,,,
Trip5,GOL0040,Eucalyptus melliodora,WGS84,-35.78673123,149.1813752,03-APR-19 2:56:01PM,865.305908,Helen Bothwell,Y,E on Ryrie Hill Rd.,"Good seed and leaves, big old tree",5,,,,,,,,,,,,,,,,,
Trip5,GOL0041,Eucalyptus melliodora,WGS84,-35.79441877,149.1830167,03-APR-19 3:20:34PM,876.120605,Helen Bothwell,Y,E on Ryrie Hill Rd.,Seed a bit young/green,5,,,,,,,,,,,,,,,,,
Trip5,GOL0042,Eucalyptus melliodora,WGS84,-35.74526696,149.150997,03-APR-19 3:43:47PM,856.894531,Helen Bothwell,Y,W on Mt. Livingstone Rd.,Good seed,5,,,,,,,,,,,,,,,,,
Trip5,GOL0043,Eucalyptus melliodora,WGS84,-35.73585869,149.1463662,03-APR-19 4:04:51PM,871.554199,Helen Bothwell,Y,"W on Mt. Livingstone Rd. off Monaro Hwy, then N on Lawler Rd. (cool 1 lane dirt road into remote bush by Glossy Black Cockatoo habitat restoration site)",Lots of seed ,5,,,,,,,,,,,,,,,,,
Trip5,GOL0044,Eucalyptus melliodora,WGS84,-35.74195468,149.1574514,03-APR-19 4:22:46PM,787.439453,Helen Bothwell,Y,W on Mt. Livingstone Rd.,"Seed, but young/pretty green",5,,,,,,,,,,,,,,,,,
Trip6,GOL0045,Eucalyptus melliodora,WGS84,-35.3867401,149.241003,03-JUN-19 11:53:50AM,691.068115,Helen Bothwell & Kevin Murray,Y,"Go S. down Old Cooma Hwy, then E. on Wickerslack Ln; park @ small dirt lot and hike down trail to the N.","~100' from entrance; seeds this year, a bit green, mostly 5-valved, but some with 6; leaves a bit long.",4,"LOTS of E. polyanthemos at this site, more than I've seen at any other site.",,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,3/06/2019 21:53,,,03-JUN-19 11:53:50AM
Trip6,EP0001,Eucalyptus polyanthemos,WGS84,-35.3832259,149.2432467,03-JUN-19 12:14:24PM,672.322754,Helen Bothwell & Kevin Murray,Y,"Go S. down Old Cooma Hwy, then E. on Wickerslack Ln; park @ small dirt lot and hike down trail to the N.",For potential hybrid outgroup comparison,4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,3/06/2019 22:14,,,03-JUN-19 12:14:24PM
Trip6,GOL0046,Eucalyptus melliodora,WGS84,-35.38192872,149.2442845,03-JUN-19 12:30:30PM,657.181885,Helen Bothwell & Kevin Murray,N,"Go S. down Old Cooma Hwy, then E. on Wickerslack Ln; park @ small dirt lot and hike down trail to the N.","Good typical E.mel, but leaves only, found 4 v. young small seeds, good 5 valves.",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,3/06/2019 22:30,,,03-JUN-19 12:30:30PM
Trip6,EB0001,Eucalyptus bridgesiana,WGS84,-35.38203743,149.2463974,03-JUN-19 12:44:30PM,647.328613,Helen Bothwell & Kevin Murray,Y,"Go S. down Old Cooma Hwy, then E. on Wickerslack Ln; park @ small dirt lot and hike down trail to the N.",For potential hybrid outgroup comparison,4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,3/06/2019 22:44,,,03-JUN-19 12:44:30PM
Trip6,GOL0047,Eucalyptus melliodora,WGS84,-35.38113194,149.2470058,03-JUN-19 12:48:30PM,626.900635,Helen Bothwell & Kevin Murray,Y,"Go S. down Old Cooma Hwy, then E. on Wickerslack Ln; park @ small dirt lot and hike down trail to the N.","TONS of seed; other trees at this site were in forest, but this tree is out in the open alone, v. good light and no competition; leaves quite small and narrow; seeds mix of 5 & 6 valves; fruits larger than many other E.mel, but some smaller, too; umbels typical 7",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,3/06/2019 22:48,,,03-JUN-19 12:48:30PM
Trip6,GOL0048,Eucalyptus melliodora,WGS84,-35.41774032,149.2259303,03-JUN-19 3:06:25PM,761.003662,Helen Bothwell & Kevin Murray,Y,"Drive towards Googong, tree on SW side of rd. entering Googong",Big beautiful old tree,4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,4/06/2019 1:06,,,03-JUN-19 3:06:25PM
Trip6,GOL0049,Eucalyptus melliodora,WGS84,-35.67370059,149.1990969,07-JUN-19 3:08:42PM,769.895752,Helen Bothwell & Kevin Murray,Y,"From Michelago go E. on Ryrie Rd., then N. on Burra Rd.","Lots of seed but young and green; fruits quite large, 5-valved, good bark and leaves; lots of E. bridgesiana and E. pauciflora at this site",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 1:08,,,07-JUN-19 3:08:42PM
Trip6,GOL0050,Eucalyptus melliodora,WGS84,-35.65976861,149.2108858,07-JUN-19 3:30:49PM,812.914307,Helen Bothwell & Kevin Murray,Y,"From Michelago go E. on Ryrie Rd., then N. on Burra Rd.",Lots of seed but young and green; old tree,4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 1:30,,,07-JUN-19 3:30:49PM
Trip6,GOL0051,Eucalyptus melliodora,WGS84,-35.63438293,149.214674,07-JUN-19 3:44:58PM,855.452393,Helen Bothwell & Kevin Murray,Y,"From Michelago go E. on Ryrie Rd., then N. on Burra Rd.","Middle-aged tree, seeds quite young and green, 7 umbels",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 1:44,,,07-JUN-19 3:44:58PM
Trip6,GOL0052,Eucalyptus melliodora,WGS84,-35.62105084,149.217011,07-JUN-19 3:58:25PM,883.330322,Helen Bothwell & Kevin Murray,N,"From Michelago go E. on Ryrie Rd., then N. on Burra Rd.","Big old tree, 7 umbels, extra rough bark at base, no seed but lots of young buds",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 1:58,,,07-JUN-19 3:58:25PM
Trip6,GOL0053,Eucalyptus melliodora,WGS84,-35.56975946,149.1936692,07-JUN-19 4:28:07PM,822.767822,Helen Bothwell & Kevin Murray,N,Take Williamsdale Rd. W. back toward Monaro Hwy,"SUPER rough bark @ base, deeply furrowed, seems odd; no seed, 7 umbels; bark typical on upper trunk",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 2:28,,,07-JUN-19 4:28:07PM
Trip6,GOL0054,Eucalyptus melliodora,WGS84,-35.57886422,149.1632038,07-JUN-19 4:35:56PM,825.411377,Helen Bothwell & Kevin Murray,Y,Take Williamsdale Rd. W. back toward Monaro Hwy,"Tons of buds but just a few seeds, good leaves, bark, 7 umbels",4,,,,,,,,,,,,garmin GPSMap60CSX Software Version 4.00,,8/06/2019 2:35,,,07-JUN-19 4:35:56PM
Trip7,GOL0055,Eucalyptus melliodora,WGS84,-34.8254281,149.6821609,04-JUL-19 12:47:21PM,668.717773,Helen Bothwell,Y,"Drive N towards Goulburn on M31, at Goulburn turn S on Braidwood Rd, turn E just after Tirrannaville on Yattalunga Rd, park in dirt lot S of fire station","Great typical Emel, 7 umbels, 4-5 valved fruits",5,,,,,,,,,,,,,,,,,
Trip7,GOL0056,Eucalyptus melliodora,WGS84,-34.88100406,149.6216107,04-JUL-19 1:25:39PM,701.162109,Helen Bothwell,N,Turn SW down Currawang Rd,,5,,,,,,,,,,,,,,,,,
Trip7,GOL0057,Eucalyptus melliodora,WGS84,-34.77965897,149.6830312,04-JUL-19 1:55:16PM,690.827637,Helen Bothwell,Y,"Just S of M31 exit for Goulburn, go SW down Mazamet Rd, only a few seeds, 5-valved","Got a few seeds, but not many, 5-valved",5,,,,,,,,,,,,,,,,,
Trip7,GOL0058,Eucalyptus melliodora,WGS84,-34.5565892,149.5649045,04-JUL-19 3:50:46PM,868.430176,Helen Bothwell,N,"NW out of Goulburn on Crookwell Rd, turn W down Pejar Rd","LOTS of Emel along here, but main road and not many good places to stop; Pejar is a great little dirt rd; no seed - tree looks pretty rough",5,,,,,,,,,,,,,,,,,
Trip7,GOL0059,Eucalyptus melliodora,WGS84,-34.62917958,149.5234976,04-JUL-19 4:40:24PM,751.630615,Helen Bothwell,Y,"Pejar Rd then S on Range Rd towards Goulburn, good quiet country rd, ","Towards Crookwell seemed to get higher elevation, more bridgisiana and other peppermint-like bark, no Emel; GREAT seed tree, 7 umbels, 5-6 valved fruits",5,,,,,,,,,,,,,,,,,
Trip7,GOL0060,Eucalyptus melliodora,WGS84,-34.67122455,149.5781598,04-JUL-19 5:05:36PM,768.694092,Helen Bothwell,N,Thompsons Lane E off Range Rd,Lots of blakeleyii and polyanthemos now,5,,,,,,,,,,,,,,,,,
Trip7,NSW0001,Eucalyptus melliodora,WGS84,-34.69864234,149.6065069,04-JUL-19 5:30:28PM,713.89917,Helen Bothwell,N,Pull off W of Range Rd at green Pomeroy Fire Brigade shed,"Only found 1 fruit, but 5-valved",5,,,,,,,,,,,,,,,,,
Trip7,NSW0002,Eucalyptus melliodora,WGS84,-33.79039172,150.22171,05-JUL-19 3:43:27PM,657.422119,Helen Bothwell,Y,"From Blackheath in Blue Mnts take Shipley Rd W then Megalong Rd SW; tree at very end of dirt bush track, just inside Blue Mnts Nat'l Park by Green Gulley track? about 30' inside; ALA shows more trees but looks like they're either on a private farm or walking access along Nat'l Park trail","Big, old tree, good seed, big leaves and fruits; just dropping down to mid elevation remote farmland from wet rainforest with tree ferns; very healthy growth on this tree",5,"Heavy mist/rain all day; mostly dense forest of other ssp., few Emel through here, at upper elevation and eastern extent of their range",,,,,,,,,,,,,,,,
Trip7,NSW0003,Eucalyptus melliodora,WGS84,-33.74848883,150.2361709,05-JUL-19 4:27:39PM,656.701172,Helen Bothwell,N,"Going back N on Megalong Rd, W side of rd.","Big, old Emel next to the tree sampled, but couldn't reach leaves; sampled younger tree right next to it",5,,,,,,,,,,,,,,,,,
Trip7,NSW0004,Eucalyptus melliodora,WGS84,-33.58679077,150.2058728,05-JUL-19 5:39:19PM,784.315186,Helen Bothwell,Y,"Going W on A23 Great Western HWY, turn S on Coxs River Rd at Little Hartley","Good seed, lots of new development; most of ALA trees now on private property in this area",5,,,,,,,,,,,,,,,,,
Trip7,NSW0005,Eucalyptus melliodora,WGS84,-33.1236643,150.0056215,06-JUL-19 12:05:15PM,716.30249,Helen Bothwell,Y,"Drive N from Lithgow on A23 to B55, at Capertee take Glen Davis Rd NE, at fork continue rt. on Glen Davis Rd","Trees very tall and straight through here, in denser forest, only 3 seeds",5,,,,,,,,,,,,,,,,,
Trip7,NSW0006,Eucalyptus melliodora,WGS84,-33.11997442,150.034491,06-JUL-19 12:24:08PM,699.719971,Helen Bothwell,Y,"Continue ~1km, pullout on N side of rd; N side of rd is public here, S side is Gardens of Stone Nat'l Park; all samples are on N side",Lots of seed,5,"Glen Davis/Wollemi Valley surrounded by high mesas, reminiscent of the US SW, but rolling farmland, still quite lush, open woodland",,,,,,,,,,,,,,,,
Trip7,NSW0007,Eucalyptus melliodora,WGS84,-33.13831503,150.109859,06-JUL-19 12:56:42PM,403.395874,Helen Bothwell,Y,"Continue on Glen Davis Rd, N side of rd","Good seed, moving out of dense forest into wide valley",5,,,,,,,,,,,,,,,,,
Trip7,NSW0008,Eucalyptus melliodora,WGS84,-33.10924617,150.1912611,06-JUL-19 1:59:05PM,322.405396,Helen Bothwell,Y,"Continue on Glen Davis Rd, N side of rd",Lots of seed,5,,,,,,,,,,,,,,,,,
Trip7,NSW0009,Eucalyptus melliodora,WGS84,-33.07784647,150.2113412,06-JUL-19 2:30:20PM,298.612915,Helen Bothwell,N,Turn N towards Glen Alice,"Just bloomed, too soon for seed",5,,,,,,,,,,,,,,,,,
Trip7,NSW0010,Eucalyptus melliodora,WGS84,-33.07240946,150.2132123,06-JUL-19 2:45:00PM,306.784058,Helen Bothwell,Y,Continue N,"Fruits, 4-5 valved",5,,,,,,,,,,,,,,,,,
Trip7,NSW0011,Eucalyptus melliodora,WGS84,-33.0363221,150.1634771,06-JUL-19 3:02:15PM,330.816895,Helen Bothwell,Y,Continue N,"Absolutely dripping w new fruit and dried flowers; not much seed, but will be heavy next year",5,,,,,,,,,,,,,,,,,
Trip7,NSW0012,Eucalyptus melliodora,WGS84,-32.97420709,150.1042704,06-JUL-19 3:35:25PM,469.966675,Helen Bothwell,N,W side of road past Bogee,"Leaves only, old, v tall",5,,,,,,,,,,,,,,,,,
Trip7,NSW0013,Eucalyptus melliodora,WGS84,-32.95507682,150.0824443,06-JUL-19 3:44:33PM,503.372192,Helen Bothwell,Y,N side of Rd,"Great seed tree! Low branch, easy access",5,,,,,,,,,,,,,,,,,
